character_id,old_variant,old_variant_id,classification,new_hero_id,new_awakening_form_id,new_skill_id,new_skin_id,temporary_state_id,migration_action,reason,confidence
ibiki-morino,War Arc,form-ibiki-morino-war-arc,COSMETIC_SKIN,,,,skin-ibiki-morino-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
idate-morino,Ninja Trainee,form-idate-morino-ninja-trainee,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
idate-morino,Runner,form-idate-morino-runner,COLLECTIBLE_HERO_VERSION,idate-morino-core,,,,,KEEP_AS_HERO,Base form of proposed hero idate-morino-core.,HIGH
indra-otsutsuki,Base,form-indra-otsutsuki-base,COLLECTIBLE_HERO_VERSION,indra-base,,,,,KEEP_AS_HERO,Base form of proposed hero indra-base.,HIGH
indra-otsutsuki,Susanoo,form-indra-otsutsuki-susanoo,AWAKENING_FORM,,awakening-indra-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of indra-base.,HIGH
ino-yamanaka,Genin,form-ino-yamanaka-genin,COLLECTIBLE_HERO_VERSION,ino-yamanaka-core,,,,,KEEP_AS_HERO,Base form of proposed hero ino-yamanaka-core.,HIGH
ino-yamanaka,Shippuden,form-ino-yamanaka-shippuden,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
ino-yamanaka,War Arc,form-ino-yamanaka-war-arc,COSMETIC_SKIN,,,,skin-ino-yamanaka-war-arc,,MOVE_TO_SKIN,Era appearance.,HIGH
inoichi-yamanaka,Allied Intelligence Chief,form-inoichi-yamanaka-allied-intelligence-chief,COSMETIC_SKIN,,,,skin-inoichi-yamanaka-allied-intelligence-chief,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
inoichi-yamanaka,Clan Head,form-inoichi-yamanaka-clan-head,COLLECTIBLE_HERO_VERSION,inoichi-yamanaka-core,,,,,KEEP_AS_HERO,Base form of proposed hero inoichi-yamanaka-core.,HIGH
iruka-umino,Academy Instructor,form-iruka-umino-academy-instructor,COLLECTIBLE_HERO_VERSION,iruka-umino-core,,,,,KEEP_AS_HERO,Base form of proposed hero iruka-umino-core.,HIGH
iruka-umino,Protective Sensei,form-iruka-umino-protective-sensei,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
ishikawa,First Tsuchikage,form-ishikawa-first-tsuchikage,COLLECTIBLE_HERO_VERSION,ishikawa-core,,,,,KEEP_AS_HERO,Base form of proposed hero ishikawa-core.,HIGH
ishikawa,Prime,form-ishikawa-prime,COSMETIC_SKIN,,,,skin-ishikawa-prime,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
itachi-uchiha,ANBU,form-itachi-uchiha-anbu,COLLECTIBLE_HERO_VERSION,itachi-anbu,,,,,KEEP_AS_HERO,Base form of proposed hero itachi-anbu.,HIGH
itachi-uchiha,Akatsuki,form-itachi-uchiha-akatsuki,COLLECTIBLE_HERO_VERSION,itachi-akatsuki,,,,,KEEP_AS_HERO,Base form of proposed hero itachi-akatsuki.,HIGH
itachi-uchiha,Edo Tensei,form-itachi-uchiha-edo-tensei,COSMETIC_SKIN,,,,skin-itachi-uchiha-edo-tensei,,MOVE_TO_SKIN,Reanimation is not a normal Awakening and does not need a duplicate hero here.,HIGH
itachi-uchiha,Mangekyo,form-itachi-uchiha-mangekyo,AWAKENING_FORM,,awakening-itachi-anbu,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of itachi-anbu.,HIGH
itachi-uchiha,Susanoo,form-itachi-uchiha-susanoo,AWAKENING_FORM,,awakening-itachi-akatsuki,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of itachi-akatsuki.,HIGH
izumo-kamizuki,Gate Guard,form-izumo-kamizuki-gate-guard,COLLECTIBLE_HERO_VERSION,izumo-kamizuki-core,,,,,KEEP_AS_HERO,Base form of proposed hero izumo-kamizuki-core.,HIGH
izumo-kamizuki,War Arc,form-izumo-kamizuki-war-arc,COSMETIC_SKIN,,,,skin-izumo-kamizuki-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
izuna-uchiha,Mangekyo Sharingan,form-izuna-uchiha-mangekyo-sharingan,AWAKENING_FORM,,awakening-izuna-uchiha-core,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of izuna-uchiha-core.,HIGH
izuna-uchiha,Warring States,form-izuna-uchiha-warring-states,COLLECTIBLE_HERO_VERSION,izuna-uchiha-core,,,,,KEEP_AS_HERO,Base form of proposed hero izuna-uchiha-core.,HIGH
jinin-akebino,Kabutowari Wielder,form-jinin-akebino-kabutowari-wielder,COLLECTIBLE_HERO_VERSION,jinin-akebino-core,,,,,KEEP_AS_HERO,Base form of proposed hero jinin-akebino-core.,HIGH
jinin-akebino,Reanimated,form-jinin-akebino-reanimated,COSMETIC_SKIN,,,,skin-jinin-akebino-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
jinpachi-munashi,Reanimated,form-jinpachi-munashi-reanimated,COSMETIC_SKIN,,,,skin-jinpachi-munashi-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
jinpachi-munashi,Shibuki Wielder,form-jinpachi-munashi-shibuki-wielder,COLLECTIBLE_HERO_VERSION,jinpachi-munashi-core,,,,,KEEP_AS_HERO,Base form of proposed hero jinpachi-munashi-core.,HIGH
jirobo,Curse Mark Level 2,form-jirobo-curse-mark-level-2,AWAKENING_FORM,,awakening-jirobo-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of jirobo-base.,HIGH
jirobo,Sound Four,form-jirobo-sound-four,COLLECTIBLE_HERO_VERSION,jirobo-base,,,,,KEEP_AS_HERO,Base form of proposed hero jirobo-base.,HIGH
jugo,Curse Mark Base,form-jugo-curse-mark-base,COLLECTIBLE_HERO_VERSION,jugo-base,,,,,KEEP_AS_HERO,Base form of proposed hero jugo-base.,HIGH
jugo,Sage Transformation,form-jugo-sage-transformation,AWAKENING_FORM,,awakening-jugo-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of jugo-base.,HIGH
kabuto-yakushi,Part I,form-kabuto-yakushi-part-i,COLLECTIBLE_HERO_VERSION,kabuto-part1,,,,,KEEP_AS_HERO,Base form of proposed hero kabuto-part1.,HIGH
kabuto-yakushi,Shippuden,form-kabuto-yakushi-shippuden,COLLECTIBLE_HERO_VERSION,kabuto-shippuden,,,,,KEEP_AS_HERO,Base form of proposed hero kabuto-shippuden.,HIGH
kabuto-yakushi,Snake Sage,form-kabuto-yakushi-snake-sage,AWAKENING_FORM,,awakening-kabuto-shippuden,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kabuto-shippuden.,HIGH
kabuto-yakushi,War Arc,form-kabuto-yakushi-war-arc,COSMETIC_SKIN,,,,skin-kabuto-yakushi-war-arc,,MOVE_TO_SKIN,Snake Sage is the actual transformation; War Arc is an era label.,HIGH
kagami-uchiha,Sharingan Elite,form-kagami-uchiha-sharingan-elite,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
kagami-uchiha,Tobirama Guard,form-kagami-uchiha-tobirama-guard,COLLECTIBLE_HERO_VERSION,kagami-uchiha-core,,,,,KEEP_AS_HERO,Base form of proposed hero kagami-uchiha-core.,HIGH
kagari,Mist Ambush,form-kagari-mist-ambush,SKILL_OR_ULTIMATE,,,legacy-kagari-mist-ambush,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
kagari,Rain Genin,form-kagari-rain-genin,COLLECTIBLE_HERO_VERSION,kagari-core,,,,,KEEP_AS_HERO,Base form of proposed hero kagari-core.,HIGH
kaguya-otsutsuki,Base,form-kaguya-otsutsuki-base,COLLECTIBLE_HERO_VERSION,kaguya-base,,,,,KEEP_AS_HERO,Base form of proposed hero kaguya-base.,HIGH
kaguya-otsutsuki,Rabbit Goddess,form-kaguya-otsutsuki-rabbit-goddess,AWAKENING_FORM,,awakening-kaguya-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kaguya-base.,HIGH
kakashi-hatake,ANBU,form-kakashi-hatake-anbu,COLLECTIBLE_HERO_VERSION,kakashi-anbu,,,,,KEEP_AS_HERO,Base form of proposed hero kakashi-anbu.,HIGH
kakashi-hatake,Double Mangekyo,form-kakashi-hatake-double-mangekyo,AWAKENING_FORM,,awakening-kakashi-war,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kakashi-war.,HIGH
kakashi-hatake,Mangekyo Sharingan,form-kakashi-hatake-mangekyo-sharingan,COLLECTIBLE_HERO_VERSION,kakashi-war,,,,,KEEP_AS_HERO,Base form of proposed hero kakashi-war.,HIGH
kakashi-hatake,Sharingan,form-kakashi-hatake-sharingan,AWAKENING_FORM,,awakening-kakashi-young,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kakashi-young.,HIGH
kakashi-hatake,Young,form-kakashi-hatake-young,COLLECTIBLE_HERO_VERSION,kakashi-young,,,,,KEEP_AS_HERO,Base form of proposed hero kakashi-young.,HIGH
kakko,Kannabi Bridge,form-kakko-kannabi-bridge,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
kakko,Stone Jonin,form-kakko-stone-jonin,COLLECTIBLE_HERO_VERSION,kakko-core,,,,,KEEP_AS_HERO,Base form of proposed hero kakko-core.,HIGH
kakuzu,Akatsuki,form-kakuzu-akatsuki,COLLECTIBLE_HERO_VERSION,kakuzu-akatsuki,,,,,KEEP_AS_HERO,Base form of proposed hero kakuzu-akatsuki.,HIGH
kakuzu,Earth Grudge Fear,form-kakuzu-earth-grudge-fear,AWAKENING_FORM,,awakening-kakuzu-akatsuki,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kakuzu-akatsuki.,HIGH
kankuro,Chunin Exams,form-kankuro-chunin-exams,COLLECTIBLE_HERO_VERSION,kankuro-core,,,,,KEEP_AS_HERO,Base form of proposed hero kankuro-core.,HIGH
kankuro,Master Puppeteer,form-kankuro-master-puppeteer,COSMETIC_SKIN,,,,skin-kankuro-master-puppeteer,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
karin,Hebi Sensor,form-karin-hebi-sensor,COLLECTIBLE_HERO_VERSION,karin-core,,,,,KEEP_AS_HERO,Base form of proposed hero karin-core.,HIGH
karin,Taka Healer,form-karin-taka-healer,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
karui,Cloud Kunoichi,form-karui-cloud-kunoichi,COLLECTIBLE_HERO_VERSION,karui-core,,,,,KEEP_AS_HERO,Base form of proposed hero karui-core.,HIGH
karui,War Arc,form-karui-war-arc,COSMETIC_SKIN,,,,skin-karui-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
katsuyu,Hundred Healings Support,form-katsuyu-hundred-healings-support,SKILL_OR_ULTIMATE,,,legacy-katsuyu-hundred-healings-support,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
katsuyu,Slug Queen,form-katsuyu-slug-queen,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
kiba-inuzuka,Chunin Exams,form-kiba-inuzuka-chunin-exams,COLLECTIBLE_HERO_VERSION,kiba-inuzuka-core,,,,,KEEP_AS_HERO,Base form of proposed hero kiba-inuzuka-core.,HIGH
kiba-inuzuka,Two-Headed Wolf,form-kiba-inuzuka-two-headed-wolf,COOPERATION_FORM_OR_TECHNIQUE,,,,,,MOVE_TO_COOP,"Fusion/cooperation technique with Akamaru, not a solo persistent hero form.",HIGH
kidomaru,Curse Mark Level 2,form-kidomaru-curse-mark-level-2,AWAKENING_FORM,,awakening-kidomaru-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kidomaru-base.,HIGH
kidomaru,Sound Four,form-kidomaru-sound-four,COLLECTIBLE_HERO_VERSION,kidomaru-base,,,,,KEEP_AS_HERO,Base form of proposed hero kidomaru-base.,HIGH
killer-b,Base,form-killer-b-base,COLLECTIBLE_HERO_VERSION,killer-b-base,,,,,KEEP_AS_HERO,Base form of proposed hero killer-b-base.,HIGH
killer-b,Eight-Tails Cloak,form-killer-b-eight-tails-cloak,AWAKENING_FORM,,awakening-killer-b-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of killer-b-base.,HIGH
killer-b,Full Gyuki,form-killer-b-full-gyuki,TEMPORARY_COMBAT_FORM,,,,,temp-killer-b-full-gyuki,MOVE_TO_TEMP_FORM,"Full tailed-beast manifestation is Ultimate-scale, not another persistent hero.",HIGH
kimimaro,Base,form-kimimaro-base,COLLECTIBLE_HERO_VERSION,kimimaro-base,,,,,KEEP_AS_HERO,Base form of proposed hero kimimaro-base.,HIGH
kimimaro,Curse Mark Level 2,form-kimimaro-curse-mark-level-2,AWAKENING_FORM,,awakening-kimimaro-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kimimaro-base.,HIGH
kimimaro,Edo Tensei,form-kimimaro-edo-tensei,COSMETIC_SKIN,,,,skin-kimimaro-edo-tensei,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
kin-tsuchi,Bell Genjutsu,form-kin-tsuchi-bell-genjutsu,SKILL_OR_ULTIMATE,,,legacy-kin-tsuchi-bell-genjutsu,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
kin-tsuchi,Sound Genin,form-kin-tsuchi-sound-genin,COLLECTIBLE_HERO_VERSION,kin-tsuchi-core,,,,,KEEP_AS_HERO,Base form of proposed hero kin-tsuchi-core.,HIGH
kinkaku,Gold Brother,form-kinkaku-gold-brother,COLLECTIBLE_HERO_VERSION,kinkaku-base,,,,,KEEP_AS_HERO,Base form of proposed hero kinkaku-base.,HIGH
kinkaku,Nine-Tails Cloak,form-kinkaku-nine-tails-cloak,AWAKENING_FORM,,awakening-kinkaku-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kinkaku-base.,HIGH
kisame-hoshigaki,Akatsuki,form-kisame-hoshigaki-akatsuki,COLLECTIBLE_HERO_VERSION,kisame-akatsuki,,,,,KEEP_AS_HERO,Base form of proposed hero kisame-akatsuki.,HIGH
kisame-hoshigaki,Samehada Fusion,form-kisame-hoshigaki-samehada-fusion,AWAKENING_FORM,,awakening-kisame-akatsuki,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of kisame-akatsuki.,HIGH
kitsuchi,Earth Commander,form-kitsuchi-earth-commander,COLLECTIBLE_HERO_VERSION,kitsuchi-core,,,,,KEEP_AS_HERO,Base form of proposed hero kitsuchi-core.,HIGH
kitsuchi,Mountain Jutsu,form-kitsuchi-mountain-jutsu,SKILL_OR_ULTIMATE,,,legacy-kitsuchi-mountain-jutsu,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
konan,Akatsuki,form-konan-akatsuki,COLLECTIBLE_HERO_VERSION,konan-akatsuki,,,,,KEEP_AS_HERO,Base form of proposed hero konan-akatsuki.,HIGH
konan,Paper Angel,form-konan-paper-angel,AWAKENING_FORM,,awakening-konan-akatsuki,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of konan-akatsuki.,HIGH
konohamaru-sarutobi,Academy Prodigy,form-konohamaru-sarutobi-academy-prodigy,COLLECTIBLE_HERO_VERSION,konohamaru-sarutobi-core,,,,,KEEP_AS_HERO,Base form of proposed hero konohamaru-sarutobi-core.,HIGH
konohamaru-sarutobi,Rasengan Disciple,form-konohamaru-sarutobi-rasengan-disciple,COSMETIC_SKIN,,,,skin-konohamaru-sarutobi-rasengan-disciple,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
kosuke-maruboshi,Eternal Genin,form-kosuke-maruboshi-eternal-genin,COLLECTIBLE_HERO_VERSION,kosuke-maruboshi-core,,,,,KEEP_AS_HERO,Base form of proposed hero kosuke-maruboshi-core.,HIGH
kosuke-maruboshi,Water Style Veteran,form-kosuke-maruboshi-water-style-veteran,SKILL_OR_ULTIMATE,,,legacy-kosuke-maruboshi-water-style-veteran,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
kotetsu-hagane,Gate Guard,form-kotetsu-hagane-gate-guard,COLLECTIBLE_HERO_VERSION,kotetsu-hagane-core,,,,,KEEP_AS_HERO,Base form of proposed hero kotetsu-hagane-core.,HIGH
kotetsu-hagane,War Arc,form-kotetsu-hagane-war-arc,COSMETIC_SKIN,,,,skin-kotetsu-hagane-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
kurenai-yuhi,Genjutsu Jonin,form-kurenai-yuhi-genjutsu-jonin,COLLECTIBLE_HERO_VERSION,kurenai-yuhi-core,,,,,KEEP_AS_HERO,Base form of proposed hero kurenai-yuhi-core.,HIGH
kurenai-yuhi,Team 8 Leader,form-kurenai-yuhi-team-8-leader,COSMETIC_SKIN,,,,skin-kurenai-yuhi-team-8-leader,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
kurotsuchi,Lava Release,form-kurotsuchi-lava-release,COLLECTIBLE_HERO_VERSION,kurotsuchi-core,,,,,KEEP_AS_HERO,Base form of proposed hero kurotsuchi-core.,HIGH
kurotsuchi,Tsuchikage Guard,form-kurotsuchi-tsuchikage-guard,COSMETIC_SKIN,,,,skin-kurotsuchi-tsuchikage-guard,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
kushimaru-kuriarare,Nuibari Wielder,form-kushimaru-kuriarare-nuibari-wielder,COLLECTIBLE_HERO_VERSION,kushimaru-kuriarare-core,,,,,KEEP_AS_HERO,Base form of proposed hero kushimaru-kuriarare-core.,HIGH
kushimaru-kuriarare,Reanimated,form-kushimaru-kuriarare-reanimated,COSMETIC_SKIN,,,,skin-kushimaru-kuriarare-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
mabui,Heavenly Transfer,form-mabui-heavenly-transfer,SKILL_OR_ULTIMATE,,,legacy-mabui-heavenly-transfer,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
mabui,Raikage Secretary,form-mabui-raikage-secretary,COLLECTIBLE_HERO_VERSION,mabui-core,,,,,KEEP_AS_HERO,Base form of proposed hero mabui-core.,HIGH
madara-uchiha,Edo Tensei,form-madara-uchiha-edo-tensei,COSMETIC_SKIN,,,,skin-madara-uchiha-edo-tensei,,MOVE_TO_SKIN,Edo is not an Awakening; Rinnegan combat identity is represented directly.,HIGH
madara-uchiha,Eternal Mangekyo,form-madara-uchiha-eternal-mangekyo,COLLECTIBLE_HERO_VERSION,madara-ems,,,,,KEEP_AS_HERO,Base form of proposed hero madara-ems.,HIGH
madara-uchiha,Rinnegan,form-madara-uchiha-rinnegan,COLLECTIBLE_HERO_VERSION,madara-rinnegan,,,,,KEEP_AS_HERO,Base form of proposed hero madara-rinnegan.,HIGH
madara-uchiha,Six Paths,form-madara-uchiha-six-paths,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Ten-Tails jinchuriki row already represents the persistent Six Paths transformation.,HIGH
madara-uchiha,Ten-Tails Jinchuriki,form-madara-uchiha-ten-tails-jinchuriki,AWAKENING_FORM,,awakening-madara-rinnegan,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of madara-rinnegan.,HIGH
madara-uchiha,Warring States,form-madara-uchiha-warring-states,COSMETIC_SKIN,,,,skin-madara-uchiha-warring-states,,MOVE_TO_SKIN,Era appearance around the EMS identity.,HIGH
mahiru,Shadow Clone,form-mahiru-shadow-clone,SKILL_OR_ULTIMATE,,,legacy-mahiru-shadow-clone,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
mahiru,Stone Jonin,form-mahiru-stone-jonin,COLLECTIBLE_HERO_VERSION,mahiru-core,,,,,KEEP_AS_HERO,Base form of proposed hero mahiru-core.,HIGH
maki,Sealing Corps,form-maki-sealing-corps,COLLECTIBLE_HERO_VERSION,maki-core,,,,,KEEP_AS_HERO,Base form of proposed hero maki-core.,HIGH
maki,War Arc,form-maki-war-arc,COSMETIC_SKIN,,,,skin-maki-war-arc,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
manda,Great Snake,form-manda-great-snake,SPECIAL_INDEPENDENT_CHARACTER,,,,,,KEEP_AS_HERO,"Summon creature is retained as special independent combat content, not a normal ninja hero version.",MEDIUM
manda,Orochimaru Summon,form-manda-orochimaru-summon,SKILL_OR_ULTIMATE,,,legacy-manda-orochimaru-summon,,,MOVE_TO_SKILL,Summon-specific action/state belongs to technique presentation rather than another summonable unit.,MEDIUM
mangetsu-hozuki,Reanimated,form-mangetsu-hozuki-reanimated,COSMETIC_SKIN,,,,skin-mangetsu-hozuki-reanimated,,MOVE_TO_SKIN,Reanimation is explicitly not treated as a normal Awakening.,MEDIUM
mangetsu-hozuki,Seven Swordsman,form-mangetsu-hozuki-seven-swordsman,COLLECTIBLE_HERO_VERSION,mangetsu-hozuki-core,,,,,KEEP_AS_HERO,Base form of proposed hero mangetsu-hozuki-core.,HIGH
matsuri,Gaara Disciple,form-matsuri-gaara-disciple,COLLECTIBLE_HERO_VERSION,matsuri-core,,,,,KEEP_AS_HERO,Base form of proposed hero matsuri-core.,HIGH
matsuri,Sand Chunin,form-matsuri-sand-chunin,COSMETIC_SKIN,,,,skin-matsuri-sand-chunin,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
meizu,Chain Gauntlet,form-meizu-chain-gauntlet,SKILL_OR_ULTIMATE,,,legacy-meizu-chain-gauntlet,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
meizu,Demon Brothers,form-meizu-demon-brothers,COLLECTIBLE_HERO_VERSION,meizu-core,,,,,KEEP_AS_HERO,Base form of proposed hero meizu-core.,HIGH
menma-uzumaki,Masked Menma,form-menma-uzumaki-masked-menma,COLLECTIBLE_HERO_VERSION,menma-base,,,,,KEEP_AS_HERO,Base form of proposed hero menma-base.,HIGH
menma-uzumaki,Nine-Tails Menma,form-menma-uzumaki-nine-tails-menma,AWAKENING_FORM,,awakening-menma-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of menma-base.,HIGH
midare,Rain Genin,form-midare-rain-genin,COLLECTIBLE_HERO_VERSION,midare-core,,,,,KEEP_AS_HERO,Base form of proposed hero midare-core.,HIGH
midare,Umbrella Barrage,form-midare-umbrella-barrage,SKILL_OR_ULTIMATE,,,legacy-midare-umbrella-barrage,,,MOVE_TO_SKILL,Label describes a technique/weapon action rather than a persistent hero form.,MEDIUM
mifune,Iaido Master,form-mifune-iaido-master,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
mifune,Samurai General,form-mifune-samurai-general,COLLECTIBLE_HERO_VERSION,mifune-core,,,,,KEEP_AS_HERO,Base form of proposed hero mifune-core.,HIGH
might-duy,Eight Gates,form-might-duy-eight-gates,AWAKENING_FORM,,awakening-might-duy-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of might-duy-base.,HIGH
might-duy,Eternal Genin,form-might-duy-eternal-genin,COLLECTIBLE_HERO_VERSION,might-duy-base,,,,,KEEP_AS_HERO,Base form of proposed hero might-duy-base.,HIGH
might-guy,Base,form-might-guy-base,COLLECTIBLE_HERO_VERSION,might-guy-base,,,,,KEEP_AS_HERO,Base form of proposed hero might-guy-base.,HIGH
might-guy,Eighth Gate,form-might-guy-eighth-gate,AWAKENING_FORM,,awakening-might-guy-base,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of might-guy-base.,HIGH
might-guy,Seventh Gate,form-might-guy-seventh-gate,TEMPORARY_COMBAT_FORM,,,,,temp-might-guy-seventh-gate,MOVE_TO_TEMP_FORM,Lower Gate reserved for skill/passive state.,HIGH
might-guy,Sixth Gate,form-might-guy-sixth-gate,TEMPORARY_COMBAT_FORM,,,,,temp-might-guy-sixth-gate,MOVE_TO_TEMP_FORM,Lower Gate reserved for skill/passive state.,HIGH
minato-namikaze,Edo Tensei,form-minato-namikaze-edo-tensei,COLLECTIBLE_HERO_VERSION,minato-edo,,,,,KEEP_AS_HERO,Base form of proposed hero minato-edo.,HIGH
minato-namikaze,Fourth Hokage,form-minato-namikaze-fourth-hokage,COSMETIC_SKIN,,,,skin-minato-namikaze-fourth-hokage,,MOVE_TO_SKIN,Rank/title does not by itself create a new combat form.,HIGH
minato-namikaze,Jonin,form-minato-namikaze-jonin,COLLECTIBLE_HERO_VERSION,minato-jonin,,,,,KEEP_AS_HERO,Base form of proposed hero minato-jonin.,HIGH
minato-namikaze,KCM,form-minato-namikaze-kcm,AWAKENING_FORM,,awakening-minato-edo,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of minato-edo.,HIGH
misumi-tsurugi,Kabuto Squad,form-misumi-tsurugi-kabuto-squad,COSMETIC_SKIN,,,,skin-misumi-tsurugi-kabuto-squad,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
misumi-tsurugi,Soft Physique,form-misumi-tsurugi-soft-physique,COLLECTIBLE_HERO_VERSION,misumi-tsurugi-core,,,,,KEEP_AS_HERO,Base form of proposed hero misumi-tsurugi-core.,HIGH
mito-uzumaki,First Jinchuriki,form-mito-uzumaki-first-jinchuriki,COLLECTIBLE_HERO_VERSION,mito-uzumaki-core,,,,,KEEP_AS_HERO,Base form of proposed hero mito-uzumaki-core.,HIGH
mito-uzumaki,Uzumaki Seal Master,form-mito-uzumaki-uzumaki-seal-master,MERGED_OR_REMOVED_DUPLICATE,,,,,,MERGE,Secondary label does not currently clear the standalone-hero threshold and is merged into the character's primary kit/presentation.,MEDIUM
mizuki,Academy Instructor,form-mizuki-academy-instructor,COLLECTIBLE_HERO_VERSION,mizuki-core,,,,,KEEP_AS_HERO,Base form of proposed hero mizuki-core.,HIGH
mizuki,Cursed Power,form-mizuki-cursed-power,AWAKENING_FORM,,awakening-mizuki-core,,,,MOVE_TO_AWAKENING,Reserved exclusively as Awakening of mizuki-core.,HIGH
moegi-kazamatsuri,Academy Squad,form-moegi-kazamatsuri-academy-squad,COLLECTIBLE_HERO_VERSION,moegi-kazamatsuri-core,,,,,KEEP_AS_HERO,Base form of proposed hero moegi-kazamatsuri-core.,HIGH
moegi-kazamatsuri,Chunin Leader,form-moegi-kazamatsuri-chunin-leader,COSMETIC_SKIN,,,,skin-moegi-kazamatsuri-chunin-leader,,MOVE_TO_SKIN,Era/rank/title difference alone does not justify another collectible hero.,MEDIUM
motoi,Cloud Jonin,form-motoi-cloud-jonin,COLLECTIBLE_HERO_VERSION,motoi-core,,,,,KEEP_AS_HERO,Base form of proposed hero motoi-core.,HIGH
